Species,Scientific Name,Habitat,Protect on USFS,Taxon,Row type,Impact Buffer,Species Specific Guidance,Pre- activity survey,Review Language (DNO),RPM (DNO),Class Type,Review Language (1),RPM (1),RPM Translation (1),Review Language (2),RPM (2),RPM Translation (2),Review Language (3),RPM (3),RPM Translation (3),Review Language (4),RPM (4),RPM Translation (4)
Abrams' spurge,Euphorbia abramsiana,sandy flats and open areas,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
adobe lily,Fritillaria pluriflora,"adobe, generally serpentine of interior foothills",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
adobe lomatium,Lomatium roseanum,"rocky, gravelly openings in lower montane coniferous forest and Great Basin scrub at elevations ranging from 4,800 - 7,400 feet",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"adobe lomatium (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: rocky, gravelly openings in lower montane coniferous forest and Great Basin scrub at elevations ranging from 4,800 - 7,400 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"adobe lomatium (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: rocky, gravelly openings in lower montane coniferous forest and Great Basin scrub at elevations ranging from 4,800 - 7,400 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (adobe lomatium): A biological survey is required. 

FSS Plant Avoidance (adobe lomatium): If adobe lomatium is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
adobe sanicle,Sanicula maritima,"clay and serpentine soils in meadows and seeps, valley and foothill grassland, chaparral, and coastal prairie at elevations ranging from 100 to 785 feet",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"adobe sanicle (SR; FSS; CRPR 1B.1, Blooming Period: Apr - May; Habitat description: clay and serpentine soils in meadows and seeps, valley and foothill grassland, chaparral, and coastal prairie at elevations ranging from 100 to 785 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"adobe sanicle (SR; FSS; CRPR 1B.1, Blooming Period: Apr - May; Habitat description: clay and serpentine soils in meadows and seeps, valley and foothill grassland, chaparral, and coastal prairie at elevations ranging from 100 to 785 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (adobe sanicle): A biological survey is required. 

State Threatened Plant Avoidance (adobe sanicle): If adobe sanicleis observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure this State Threatened Plant is fully avoided. Contact SCE BAR if full avoidance cannot be achieved.

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Adobe yampah,Perideridia pringlei,"grassy slopes, serpentine outcrops",No,Plant,Formula,--,Not discussed on USFS.,#REF!,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Agoura Hills dudleya,Dudleya cymosa ssp. agourensis,"open, rocky volcanic slopes",Yes,Plant,Formula,Work area,--,#REF!,"Agoura Hills dudleya (FT; CRPR 1B.2, Blooming Period: May - Jun; Habitat description: open, rocky volcanic slopes) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"Agoura Hills dudleya (FT; CRPR 1B.2, Blooming Period: May - Jun; Habitat description: open, rocky volcanic slopes) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (Agoura Hills dudleya): A qualified botanist will conduct a rare plant survey for Agoura Hills dudleya within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (Agoura Hills dudleya): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Ahart's buckwheat,Eriogonum umbellatum var. ahartii,"serpentine soils on slopes and in openings in cismontane woodland and chaparral at elevations ranging from 900 - 6,560 feet",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Ahart's buckwheat (FSS; CRPR 1B.2, Blooming Period: Jun - Sep; Habitat description: serpentine soils on slopes and in openings in cismontane woodland and chaparral at elevations ranging from 900 - 6,560 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Ahart's buckwheat (FSS; CRPR 1B.2, Blooming Period: Jun - Sep; Habitat description: serpentine soils on slopes and in openings in cismontane woodland and chaparral at elevations ranging from 900 - 6,560 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Ahart's buckwheat): A biological survey is required. 

FSS Plant Avoidance (Ahart's buckwheat): If Ahart's buckwheat is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Ahart's dwarf rush,Juncus leiospermus var. ahartii,"vernal pool margins, grassland swales",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Ahart's paronychia,Paronychia ahartii,"well-drained, rocky outcrops, often vernal pool edges, volcanic upland ",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Alameda Island mole,Scapanus latimanus parvus,"loose moist soil within meadows, field, grasslands, gardens, forests and orchards",No,Mammal,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Alameda song sparrow,Melospiza melodia pusillula,tidal salt marshes and marshes,No,Bird,Formula,--,Not discussed on USFS.,#REF!,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Alameda whipsnake,Masticophis lateralis euryxanthus,"chaparral, coastal scrub, grassland with rock piles, open woodlands, pond edges and stream courses ",Yes,Reptile,--,--,Notify SME if found on USFS,Pre-activity Survey Required,"Alameda whipsnake (FT; ST; Habitat description: chaparral, coastal scrub, grassland with rock piles, open woodlands, pond edges and stream courses ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,--,"Alameda whipsnake (FT; ST; Habitat description: chaparral, coastal scrub, grassland with rock piles, open woodlands, pond edges and stream courses ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--). ",Notify SME if found on USFS,Notify SME if found on USFS,--,--,--,--,--,--,--,--,--
alder buckthorn,Rhamnus alnifolia,"wet meadow edges, seeps, stream sides",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Aleppo avens,Geum aleppicum,meadows,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Alexander’s buckwheat,Eriogonum alexandrae (E. ochrocephalum var. ochrocephalum),"dry, rocky slopes, and sandy areas where Alexander's buckwheat thrives",Yes,Plant,Formula,Work area,"Only discussed in INF, if reviewing INF apply same RPM's and language as other CRPR 1/2 plant receive. ",#REF!,"Alexander’s buckwheat (INF:SCC; CRPR 4.2; Habitat description: dry, rocky slopes, and sandy areas where Alexander's buckwheat thrives) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Alexander’s buckwheat (INF:SCC; CRPR 4.2; Habitat description: dry, rocky slopes, and sandy areas where Alexander's buckwheat thrives) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Alexander’s buckwheat): A biological survey is required. 

FSS Plant Avoidance (Alexander’s buckwheat): If Alexander’s buckwheat is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Alexander's buckwheat,Eriogonum alexanderae,clay,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Algodones Dunes sunflower,Helianthus niveus ssp. tephrodes,sand dunes,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Algodones Dunes sunflower (SE; BLM:S; CRPR 1B.2, Blooming Period: Mar - May; Habitat description: sand dunes) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Algodones Dunes sunflower (SE; BLM:S; CRPR 1B.2, Blooming Period: Mar - May; Habitat description: sand dunes) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Algodones Dunes sunflower): A biological survey is required. 

State Threatened Plant Avoidance (Algodones Dunes sunflower): If Algodones Dunes sunfloweris observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure this State Threatened Plant is fully avoided. Contact SCE BAR if full avoidance cannot be achieved.

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
alkali hymenoxys,Hymenoxys lemmonii,"roadsides, open areas, meadows, slopes, drainage areas, stream banks",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Alkali ivesia,Ivesia kingii var. kingii,moist alkaline clay,Yes,Plant,Formula,Work area,--,#REF!,"Alkali ivesia (INF:SCC; BLM:S; CRPR 2B.2, Blooming Period: Jun - Aug; Habitat description: moist alkaline clay) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Alkali ivesia (INF:SCC; BLM:S; CRPR 2B.2, Blooming Period: Jun - Aug; Habitat description: moist alkaline clay) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (alkali ivesia): A biological survey is required. 

FSS Plant Avoidance (alkali ivesia): If alkali ivesia is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
alkali mariposa-lily,Calochortus striatus,"wetlands/riparian, meadows, and moist creosote, chaparral, or shadscale scrub",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"alkali mariposa-lily (FSS; BLM:S; CRPR 1B.2, Blooming Period: Apr - Jun; Habitat description: wetlands/riparian, meadows, and moist creosote, chaparral, or shadscale scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"alkali mariposa-lily (FSS; BLM:S; CRPR 1B.2, Blooming Period: Apr - Jun; Habitat description: wetlands/riparian, meadows, and moist creosote, chaparral, or shadscale scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (alkali mariposa-lily): A biological survey is required. 

FSS Plant Avoidance (alkali mariposa-lily): If alkali mariposa-lily is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
alkali marsh aster,Almutaster pauciflorus,damp alkaline places,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
alkali milk-vetch,Astragalus tener var. tener,"alkaline flats, vernally moist meadows",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
alkali sink goldfields,Lasthenia chrysantha,"vernal pools, wet saline flats",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
alkali tansy-sage,Sphaeromeria potentilloides var. nitrophila,generally alkaline areas,Yes,Plant,Formula,Work area,--,#REF!,"alkali tansy-sage (INF:SCC; CRPR 2B.2, Blooming Period: May - Jul; Habitat description: generally alkaline areas) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"alkali tansy-sage (INF:SCC; CRPR 2B.2, Blooming Period: May - Jul; Habitat description: generally alkaline areas) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (alkali tansy-sage): A biological survey is required. 

FSS Plant Avoidance (alkali tansy-sage): If alkali tansy-sage is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Allen's pentachaeta,Pentachaeta aurea ssp. allenii,grassy areas and openings in coastal scrub or chapparal,No,Plant,Formula,--,Not discussed on USFS.,#REF!,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
alpine crisp moss,Tortella alpicola,"shaded or exposed, wet or dry rocks, crevices and ledges",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
alpine dusty maidens,Chaenactis douglasii var. alpina,"rocky or gravelly ridges, talus, fell-fields, crevices",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
alpine jewelflower,Streptanthus gracilis,"gravel pockets among granitic outcrops and talus boulders in subalpine and upper montane coniferous forest at elevations ranging from 8,500 - 11,485 feet",Yes,Plant,Formula,Work area,--,#REF!,"alpine jewelflower (FSS; CRPR 1B.3, Blooming Period: Jun - Sep; Habitat description: gravel pockets among granitic outcrops and talus boulders in subalpine and upper montane coniferous forest at elevations ranging from 8,500 - 11,485 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"alpine jewelflower (FSS; CRPR 1B.3, Blooming Period: Jun - Sep; Habitat description: gravel pockets among granitic outcrops and talus boulders in subalpine and upper montane coniferous forest at elevations ranging from 8,500 - 11,485 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (alpine jewelflower): A biological survey is required. 

FSS Plant Avoidance (alpine jewelflower): If alpine jewelflower is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
alpine marsh violet,Viola palustris,"marshes, swamps, streambanks, often beneath shrubs",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
alpine smelowskia,Smelowskia ovalis,"rock crevices, loose soils",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Alverson's foxtail cactus,Coryphantha alversonii,"sandy or rocky, creosote-bush scrub",Yes,Plant,Formula,Work area,"Only discussed in INF, if reviewing INF apply same RPM's and language as other CRPR 1/2 plant receive. ",Pre-activity Survey Required,"Alverson's foxtail cactus (INF:SCC; CRPR 4.3, Blooming Period: May - Jun; Habitat description: sandy or rocky, creosote-bush scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Alverson's foxtail cactus (INF:SCC; CRPR 4.3, Blooming Period: May - Jun; Habitat description: sandy or rocky, creosote-bush scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Alverson's foxtail cactus): A biological survey is required. 

FSS Plant Avoidance (Alverson's foxtail cactus): If Alverson's foxtail cactus is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Alvin Meadow bedstraw,Galium californicum ssp. primum,"granitic, sandy soils in shaded areas at the lower edge of the pine belt in pine forest-chaparral ecotone at elevations ranging from 4,430 - 6,000 feet",Yes,Plant,Formula,Work area,--,#REF!,"Alvin Meadow bedstraw (FSS; CRPR 1B.2, Blooming Period: Mar - Jul; Habitat description: granitic, sandy soils in shaded areas at the lower edge of the pine belt in pine forest-chaparral ecotone at elevations ranging from 4,430 - 6,000 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Alvin Meadow bedstraw (FSS; CRPR 1B.2, Blooming Period: Mar - Jul; Habitat description: granitic, sandy soils in shaded areas at the lower edge of the pine belt in pine forest-chaparral ecotone at elevations ranging from 4,430 - 6,000 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Alvin Meadow bedstraw): A biological survey is required. 

FSS Plant Avoidance (Alvin Meadow bedstraw): If Alvin Meadow bedstraw is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Amargosa beardtongue,Penstemon fruticiformis var. amargosae,creosote-bush scrub,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
